id;Pocket;Table;Turn;River
3;7d3d;8s4c8h;;
7;th7h;;;
15;ks9s;;;
25;7h4h;kcjs5h;;
36;2h8h;kd5cjh;js;
37;kd7d;9s5s9h;4h;
42;5c2c;;;
43;8sqs;7d4h9c;8c;2c
45;6c5c;;;
47;2c9c;3s2dad;;
50;jctc;;;
56;4s7s;as4h8d;;
58;ks7s;;;
60;9c6c;5djh9d;jd;
65;9sks;;;
69;ts7s;;;
71;ts5s;8casth;;
76;2dad;;;
89;9h6h;;;
100;qsts;5s4cqd;2d;kd
105;khth;;;
113;2s9s;;;
116;2d7d;;;
117;asqs;;;
123;asqs;;;
129;2dad;th3c7d;3s;
132;qcac;;;
140;9c8c;qd7c5s;td;qh
153;jd4d;8hadqs;3d;9c
154;5d3d;;;
164;ad4d;6s9h8c;th;
168;ac3c;8hjc5h;qs;js
170;5d8d;adjhkd;;
176;kdad;2d6sks;;
185;9dkd;;;
193;2sas;;;
204;3d4d;tsah5d;;
210;qs4s;;;
222;qckc;;;
230;7dad;;;
231;qhth;9c5s2h;qs;jc
240;th5h;7hjh8s;ts;jc
242;6h9h;ks6d6s;;
254;3h7h;;;
256;ad5d;;;
264;jckc;qd5h9s;7d;ac
277;4sas;;;
281;6dtd;;;
292;4s3s;8d2cjc;3c;5h
300;8sqs;3h9cts;7d;
302;7sjs;6d2cjd;;
309;2sks;jh5h7s;7c;as
311;kc6c;5dqs2s;2h;4d
318;6h9h;;;
325;tc5c;;;
343;4sjs;7s5c4d;qh;6d
348;4hjh;9hjc2c;6s;
352;tc8c;9cjdqc;;
374;ts3s;td2d7c;;
375;ad6d;;;
377;jh2h;;;
398;ts6s;;;
408;8s4s;;;
415;kc4c;2h9has;;
416;7ctc;2c5h3d;;
420;2sas;4dac4h;6h;
437;8s2s;;;
447;7c2c;js2s9c;8s;
450;6sas;th9s6h;qh;
461;5dqd;;;
465;4hqh;;;
466;4d2d;kdqcah;3d;7s
469;5cac;;;
473;6h9h;kh8d4c;ah;9d
475;qd9d;;;
477;5sks;7s5d3d;2c;
487;qc5c;3h7hqs;;
492;5c2c;;;
494;5h4h;asqcah;4s;qh
497;th4h;ad3h2h;;
504;tc9c;4hjh3c;7s;td
505;td9d;th6htc;kc;
512;kcac;;;
513;7hkh;3h2c4h;7d;7s
520;7d3d;jc8h6d;5h;
524;5c6c;4dqcjh;;
526;7d9d;7s9sks;qs;ac
527;6h8h;5sad3d;;
532;tc7c;3cac9s;5s;6c
533;9h8h;5htsac;js;qh
534;jd8d;8h8sth;;
535;jcac;6htsqs;9s;
536;5c6c;;;
540;4sjs;qc6c7s;;
548;3d7d;4h9cks;6c;
557;jc7c;7sqs4d;4s;kc
558;jdkd;qc3s9h;4h;4d
560;ts5s;3s4sqh;;
562;kc4c;;;
579;5s4s;;;
583;9dtd;;;
591;3ckc;jstdts;2d;
593;asjs;5skc9s;ks;2d
602;7d6d;;;
616;2h9h;7s7cjc;6h;
619;jc3c;;;
627;4ckc;acas9c;tc;ts
638;8s5s;;;
651;4h6h;kd8h7h;th;9d
653;kcqc;;;
654;9d7d;8had6c;;
667;asks;9c6d9d;5c;5h
669;9ctc;;;
679;4h7h;;;
680;8cac;;;
686;qsjs;ts4d5h;;
691;3d5d;;;
702;tc9c;;;
708;4sts;;;
710;qdtd;jhkcac;qh;2d
712;3djd;;;
714;6hqh;;;
726;jd9d;6cqc5d;4c;7s
729;7cqc;ad2d3h;tc;js
731;3c2c;jc4s5d;;
737;9sjs;8ctc4c;8h;9d
738;4d8d;ks3dkh;as;6h
753;kcjc;;;
757;3c4c;8dah8c;7d;
765;kd6d;6hjhjs;8d;2d
774;ts3s;5h5dqs;7h;tc
781;jd7d;2d9stc;8s;qc
783;5d4d;5s4sqc;9s;5c
788;3h5h;;;
819;4cjc;6castc;;
823;td7d;kdks4d;;
829;2d5d;3d8s4d;;
836;ahth;;;
843;8c9c;jsjc9h;7s;7d
855;5hkh;5ctcac;8h;4s
866;asjs;qdkd2c;qh;td
867;tckc;9sac9d;jh;7c
869;2d4d;;;
870;ac9c;;;
873;5dqd;qh3s4h;;
877;ac4c;ts2cqd;th;7h
878;2c6c;;;
879;6s2s;;;
913;7c5c;;;
918;kh7h;5d2had;as;ks
933;3hjh;;;
939;7hth;9c8s2c;;
942;7sks;;;
948;ac4c;;;
972;td9d;jcqsjh;;
979;jh7h;tcjckh;6h;6d
1002;jc4c;2c6skc;;
1009;ks4s;ah6c8h;;
1011;7hkh;kdjh2c;;
1016;7c8c;js5h3c;2c;2d
1027;7hkh;js4dqh;7d;jd
1030;7sjs;7d2djd;qd;2h
1038;tcac;;;
1049;9h8h;7c2hqc;;
1050;2hah;thtc2c;8s;
1057;8ctc;ackd9c;;
1071;6d9d;;;
1078;8h7h;6das7s;9s;8d
1080;8dtd;7s6djs;qc;
1089;tsas;ad5c4d;5h;9c
1101;5c6c;5dad9s;3c;kd
1105;4s8s;;;
1109;8dtd;askd8h;ks;7d
1111;9d7d;td9cjh;2s;8d
1121;kh6h;3cjc9s;;
1126;5d9d;9s4s5h;;
1127;5s8s;jd3dtd;4c;
1134;8dqd;;;
1143;3c6c;9c8h7h;th;6h
1147;qs9s;;;
1150;7cjc;8h6sts;2h;js
1153;3s7s;;;
1172;4cjc;;;
1178;kh2h;;;
1189;5s4s;tc2had;jd;9h
1190;7dad;;;
1200;9d8d;2c8c2h;7d;9s
1201;8ctc;5c7cqs;;
1206;4dad;8d3h7c;;
1212;8s3s;4s5h7s;4h;3h
1213;6s4s;ac4h3h;9h;qh
1220;8h4h;ts7d5h;jc;as
1221;2d9d;7dtd7h;;
1225;7d8d;3c5d2d;;
1237;3c9c;kc9d2s;;
1242;qdjd;;;
1249;ad9d;qctsqh;3h;8c
1250;5s3s;2cah4d;8h;7c
1254;7d4d;3dtc9s;jd;6h
1260;jhth;2d7d3h;;
1263;8d3d;qs3skh;ad;6c
1265;8h3h;7h8s4c;6s;
1267;7d5d;qc2c5s;4d;kh
1290;3c8c;5c8djc;;
1304;ah6h;2h2sac;jd;
1315;5hth;;;
1316;kh4h;2d5skd;3s;6h
1320;9hkh;tc9s8d;2s;qh
1322;9d7d;8hqsjs;qc;
1343;qhkh;qs9h9s;2d;qd
1344;qc5c;6s8c6d;kd;
1346;3c4c;9d6c6s;ah;7d
1349;jd6d;qs2h4h;3h;3s
1350;ac7c;3h6s3c;8c;2d
1351;6cjc;2d8cjh;7h;jd
1363;6d4d;5c2c9h;th;qd
1366;ad6d;8h5h7s;jh;as
1378;7s5s;as7h9d;ts;2c
1382;ad5d;9d7d9c;;
1385;9dad;7s3sjs;9h;8d
1386;kcac;qcth6h;;
1398;6h7h;qsqckd;as;2h
1399;7hjh;7dkc7s;3s;5s
1400;2h4h;6d8c3d;td;
1401;js8s;6dtc5h;;
1414;7djd;2cks5c;ad;8c
1419;jd7d;js3sjc;ad;
1420;ts8s;as9c4h;kc;7d
1424;7sjs;3cac3d;3h;ah
1426;kh3h;4c2cks;6h;
1427;4s8s;5std9s;2c;th
1430;as9s;5sadqs;2c;jh
1432;5d8d;th4d7h;5c;3h
1438;qs5s;th8s4s;4d;7s
1447;kh8h;6htcqs;;
1455;ah7h;4d9d8h;3c;6c
1457;qc7c;jsqs2c;3h;4s
1462;qh4h;6dkhah;7h;5h
1474;4d7d;8djcjs;3h;3s
1481;9c3c;7c2s5s;8d;ah
1490;thkh;;;
1493;js8s;ts4c3c;;
1494;2c4c;2has2d;4h;9d
1503;3h4h;acjd6h;;
1511;4c5c;adjsac;2c;ks
1521;3c6c;9dtc5c;ts;7h
1523;5s7s;2c9c5h;ks;5c
1525;9h7h;kskh9s;kc;jd
1531;8djd;5s9s7d;3h;ts
1535;ah6h;2cad6c;3h;
1539;ah4h;adqc8h;7s;2c
1545;qc7c;3dac6c;2d;
1556;7d5d;kdts2c;js;qc
1564;8dad;kc2has;ac;7d
1566;ac7c;5c5h4h;qd;ks
1570;kh9h;kc6sjc;td;qc
1576;qh9h;ts2h5c;6c;2d
1584;qh3h;7h6c2d;9d;4d
1592;asjs;ts5h3s;8s;2c
1594;qcac;5d6hks;ah;jc
1622;9d3d;;;
1624;jdad;;;
1628;jdkd;;;
1634;7ckc;;;
1638;as6s;;;
1644;9c8c;as9d3d;qs;
1653;9c4c;6cjd2h;4d;
1656;asts;8cqhqc;qd;
1662;2d7d;;;
1666;qc4c;js4sts;5s;
1672;4d9d;7s3c5d;th;2d
1674;8s3s;8hqs5s;5d;9h
1683;qs8s;8hqdjc;tc;
1688;khjh;6skskc;7d;8h
1696;3hth;7has5s;;
1697;2c4c;ad3s6d;5c;6h
1706;qh7h;jc3h4d;js;kh
1708;8cqc;qs7c7s;as;4h
