id;Pocket;Table;Turn;River;proba_win_preflop;proba_draw_preflop;best_hand_flop;checker_flop;proba_win_flop;proba_draw_flop;best_hand_turn;checker_turn;proba_win_turn;proba_draw_turn;best_hand_river;checker_river;proba_win_river;proba_draw_river
3;7d3d;8s4c8h;;;0.37348;0.05459;ONE_PAIR;1.0;0.2007;0.06185;;;;;;;;
7;th7h;;;;0.48267;0.0397;;;;;;;;;;;;
15;ks9s;;;;0.58646;0.02646;;;;;;;;;;;;
25;7h4h;kcjs5h;;;0.39191;0.05432;HIGH_CARD;1.0;0.23495;0.0543;;;;;;;;
36;2h8h;kd5cjh;js;;0.37613;0.05124;HIGH_CARD;1.0;0.2299;0.055;ONE_PAIR;1.0;0.2924242424242424;0.08096179183135704;;;;
37;kd7d;9s5s9h;4h;;0.55929;0.03367;ONE_PAIR;1.0;0.46365;0.0493;ONE_PAIR;1.0;0.38689064558629777;0.019653052261747912;;;;
42;5c2c;;;;0.34956;0.05859;;;;;;;;;;;;
43;8sqs;7d4h9c;8c;2c;0.5448;0.03173;HIGH_CARD;0.0;0.37825;0.01835;ONE_PAIR;0.5;0.6613526570048309;0.005797101449275362;ONE_PAIR;0.5;0.6747474747474748;0.006060606060606061
45;6c5c;;;;0.40347;0.05645;;;;;;;;;;;;
47;2c9c;3s2dad;;;0.39997;0.04797;ONE_PAIR;0.5;0.49065;0.03275;;;;;;;;
50;jctc;;;;0.56226;0.02752;;;;;;;;;;;;
56;4s7s;as4h8d;;;0.39191;0.05432;ONE_PAIR;0.5;0.5808;0.0371;;;;;;;;
58;ks7s;;;;0.55929;0.03367;;;;;;;;;;;;
60;9c6c;5djh9d;jd;;0.45196;0.04535;ONE_PAIR;0.5;0.65205;0.02505;TWO_PAIR;0.75;0.7408432147562583;0.03838383838383838;;;;
65;9sks;;;;0.58646;0.02646;;;;;;;;;;;;
69;ts7s;;;;0.48267;0.0397;;;;;;;;;;;;
71;ts5s;8casth;;;0.44696;0.04631;ONE_PAIR;0.5;0.69865;0.03895;;;;;;;;
76;2dad;;;;0.55423;0.03725;;;;;;;;;;;;
89;9h6h;;;;0.45196;0.04535;;;;;;;;;;;;
100;qsts;5s4cqd;2d;kd;0.57973;0.02676;ONE_PAIR;0.5;0.807;0.0105;ONE_PAIR;0.5;0.7447079490557752;0.006829161176987264;ONE_PAIR;0.5;0.7111111111111111;0.006060606060606061
105;khth;;;;0.60594;0.02449;;;;;;;;;;;;
113;2s9s;;;;0.39997;0.04797;;;;;;;;;;;;
116;2d7d;;;;0.35655;0.05384;;;;;;;;;;;;
117;asqs;;;;0.65299;0.01794;;;;;;;;;;;;
123;asqs;;;;0.65299;0.01794;;;;;;;;;;;;
129;2dad;th3c7d;3s;;0.55423;0.03725;HIGH_CARD;0.0;0.44985;0.03095;ONE_PAIR;1.0;0.4738032498902064;0.056719367588932805;;;;
132;qcac;;;;0.65299;0.01794;;;;;;;;;;;;
140;9c8c;qd7c5s;td;qh;0.48748;0.03821;HIGH_CARD;1.0;0.4185;0.0221;HIGH_CARD;1.0;0.47184892402283707;0.015173473869126044;ONE_PAIR;1.0;0.19393939393939394;0.00909090909090909
153;jd4d;8hadqs;3d;9c;0.47125;0.04391;HIGH_CARD;1.0;0.3847;0.06625;HIGH_CARD;1.0;0.41693017127799736;0.03713219148001757;HIGH_CARD;1.0;0.2222222222222222;0.05757575757575758
154;5d3d;;;;0.36672;0.05776;;;;;;;;;;;;
164;ad4d;6s9h8c;th;;0.57278;0.03839;HIGH_CARD;0.0;0.3559;0.0541;HIGH_CARD;0.0;0.1976943346508564;0.10928853754940711;;;;
168;ac3c;8hjc5h;qs;js;0.5626;0.03774;HIGH_CARD;0.0;0.43345;0.032;HIGH_CARD;0.0;0.3030742204655248;0.048506807202459375;ONE_PAIR;1.0;0.4080808080808081;0.05757575757575758
170;5d8d;adjhkd;;;0.41887;0.0509;HIGH_CARD;1.0;0.4741;0.0864;;;;;;;;
176;kdad;2d6sks;;;0.66158;0.01626;ONE_PAIR;0.5;0.8631;0.00695;;;;;;;;
185;9dkd;;;;0.58646;0.02646;;;;;;;;;;;;
193;2sas;;;;0.55423;0.03725;;;;;;;;;;;;
204;3d4d;tsah5d;;;0.35767;0.05771;HIGH_CARD;1.0;0.2973;0.05595;;;;;;;;
210;qs4s;;;;0.49723;0.04183;;;;;;;;;;;;
222;qckc;;;;0.62156;0.01934;;;;;;;;;;;;
230;7dad;;;;0.59406;0.03158;;;;;;;;;;;;
231;qhth;9c5s2h;qs;jc;0.57973;0.02676;HIGH_CARD;0.0;0.42685;0.00925;ONE_PAIR;0.5;0.699582784365393;0.006389986824769434;ONE_PAIR;0.5;0.8494949494949495;0.006060606060606061
240;th5h;7hjh8s;ts;jc;0.44696;0.04631;HIGH_CARD;1.0;0.57215;0.0408;ONE_PAIR;0.5;0.53965744400527;0.0774703557312253;TWO_PAIR;0.75;0.6484848484848484;0.050505050505050504
242;6h9h;ks6d6s;;;0.45196;0.04535;THREE_OF_A_KIND;0.6666666666666666;0.90345;0.0253;;;;;;;;
254;3h7h;;;;0.37348;0.05459;;;;;;;;;;;;
256;ad5d;;;;0.58301;0.0364;;;;;;;;;;;;
